Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Status
polo-ralph-lauren-navy-sweater-vest,Polo Ralph Lauren — Navy sweater vest,"<p>Gilet sans manches Polo Ralph Lauren, torsadé bleu marine. Neuf avec étiquette. Taille S. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,gilet,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-white-jean,Polo Ralph Lauren — White jean,"<p>Jean Polo Ralph Lauren, blanc, coupe The Boot. Neuf avec étiquette. Taille 30. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,jean,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-blue-thin-stripe-shirt,Polo Ralph Lauren — Blue thin stripe shirt,"<p>Chemise Ralph Lauren, rayures fines bleu/blanc. Neuve avec étiquette. Taille L. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,chemise,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-orange-cable-sweater,Polo Ralph Lauren — Orange cable sweater,"<p>Pull Polo Ralph Lauren, orange, maille torsadée (Julianna). Neuf avec étiquette. Taille XXS. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,pull,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-bordeaux-cable-sweater,Polo Ralph Lauren — Bordeaux cable sweater,"<p>Pull Polo Ralph Lauren, bordeaux, maille torsadée (Julianna). Neuf avec étiquette. Taille XS. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,pull,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-camel-cable-sweater,Polo Ralph Lauren — Camel cable sweater,"<p>Pull Polo Ralph Lauren, camel, maille torsadée. Neuf avec étiquette. Taille XS. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,pull,"homme, vu:2026-07-21",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-green,Polo Ralph Lauren — Green polo,"<p>Polo Ralph Lauren, maille piquée, vert uni. Neuf avec étiquette. Taille M. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,polo,"homme, vu:2026-07-14",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-orange,Polo Ralph Lauren — Orange polo,"<p>Polo Ralph Lauren, maille piquée, orange uni. Neuf avec étiquette. Taille XS. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,polo,"homme, vu:2026-07-14",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-pink,Polo Ralph Lauren — Pink polo,"<p>Polo Ralph Lauren, maille piquée, rose uni. Neuf avec étiquette. Taille M. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,polo,"homme, vu:2026-07-14",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-purple,Polo Ralph Lauren — Purple polo,"<p>Polo Ralph Lauren, maille piquée, violet uni. Neuf avec étiquette. Taille à vérifier. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,polo,"homme, vu:2026-07-14",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-red,Polo Ralph Lauren — Red polo,"<p>Polo Ralph Lauren, maille piquée, corail/rouge uni. Neuf avec étiquette. Taille XL. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,polo,"homme, vu:2026-07-14",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-white,Polo Ralph Lauren — White Polo Bear hoodie,"<p>Sweat Polo Ralph Lauren, blanc, graphique Polo Bear. Neuf avec étiquette. Taille XXL. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,polo,"homme, vu:2026-07-14",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-white-with-red-and-black-stripe,Polo Ralph Lauren — White red stripe polo,"<p>Polo Ralph Lauren, blanc, bande diagonale rouge/marine (Polo 96). Neuf avec étiquette. Taille à vérifier. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,polo,"homme, vu:2026-07-14",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-yellow,Polo Ralph Lauren — Yellow polo,"<p>Polo Ralph Lauren, maille piquée, jaune uni. Neuf avec étiquette. Taille L. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,polo,"homme, vu:2026-07-14",TRUE,Title,Default Title,,,TRUE,TRUE,,active
shirt-ralph-lauren-beige-and-white-stripes,Polo Ralph Lauren — Beige stripe shirt,"<p>Chemise Polo Ralph Lauren, lin, rayures beige/blanc. Neuve avec étiquette. Taille à vérifier. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,chemise,"homme, vu:2026-07-14",TRUE,Title,Default Title,,,TRUE,TRUE,,active
shirt-ralph-lauren-blue-and-white-stripes,Polo Ralph Lauren — Blue stripe linen shirt,"<p>Chemise Polo Ralph Lauren, lin, rayures bleu/blanc. Neuve avec étiquette. Taille XL. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,chemise,"homme, vu:2026-07-14",TRUE,Title,Default Title,,,TRUE,TRUE,,active
shirt-ralph-lauren-blue-and-white-stripes-1,Polo Ralph Lauren — Blue stripe shirt,"<p>Chemise Polo Ralph Lauren, rayures bleu/blanc (variante). Neuve avec étiquette. Taille à vérifier. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,chemise,"homme, vu:2026-07-14",TRUE,Title,Default Title,,,TRUE,TRUE,,active
shirt-ralph-lauren-light-blue-and-white-stripes,Polo Ralph Lauren — Light blue stripe shirt,"<p>Chemise Polo Ralph Lauren, rayures bleu clair/blanc. Neuve avec étiquette. Taille à vérifier. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,chemise,"homme, vu:2026-07-14",TRUE,Title,Default Title,,,TRUE,TRUE,,active
shirt-ralph-lauren-pink-and-white-stripes,Polo Ralph Lauren — Pink stripe shirt,"<p>Chemise Polo Ralph Lauren, rayures rose/blanc. Neuve avec étiquette. Taille à vérifier. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,chemise,"homme, vu:2026-07-14",TRUE,Title,Default Title,,,TRUE,TRUE,,active
vest-ralph-lauren-white,Polo Ralph Lauren — Navy blazer,"<p>Blazer Polo Ralph Lauren, bleu marine structuré. Neuf avec étiquette. Taille à vérifier. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,gilet,"homme, vu:2026-07-14",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-houndstooth-blazer,Polo Ralph Lauren — Houndstooth blazer,"<p>Blazer Polo Ralph Lauren, motif prince-de-galles beige/marron. Neuf avec étiquette. Taille à vérifier. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,blazer,"homme, vu:2026-07-14",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-wimbledon-jacket,Polo Ralph Lauren — Wimbledon varsity jacket,"<p>Blouson Polo Ralph Lauren, blanc/marine, écusson « 1877 Wimbledon Polo ». Neuf avec étiquette. Taille à vérifier. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,blouson,"homme, vu:2026-07-14",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-brown-suede-jacket,Polo Ralph Lauren — Brown suede jacket,"<p>Blouson Polo Ralph Lauren, daim beige/camel. Neuf avec étiquette. Taille à vérifier. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,blouson,"homme, vu:2026-07-14",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-red-bleecker-hoodie,Polo Ralph Lauren — Red Bleecker hoodie,"<p>Sweat à capuche Polo Ralph Lauren, rouge, graphique « Bleecker NY Run Club ». Neuf avec étiquette. Taille à vérifier. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,sweat,"homme, vu:2026-07-14",TRUE,Title,Default Title,,,TRUE,TRUE,,active
polo-ralph-lauren-white-cardigan,Polo Ralph Lauren — White varsity cardigan,"<p>Cardigan Polo Ralph Lauren, maille blanche, écusson « P » brodé. Neuf avec étiquette. Taille à vérifier. Achat outlet, envoi suivi France & international.</p>",Polo Ralph Lauren,veste,"homme, vu:2026-07-14",TRUE,Title,Default Title,,,TRUE,TRUE,,active
